FID,globalid,uniq_id,timestamp,editor,lganame,lgacode,statename,statecode,source,amapcode,Shape__Area,Shape__Length
1,03e7c550-533e-4a1b-9d39-0cc33fa7b992,28920,2019/08/09 00:00:00+00,nuraddeen.isah,Eastern Obolo,3002,Akwa Ibom,AK,eHA_Polio,NIE AKS KRT,0.0128834876973798,0.664376265947135
2,fb8437ba-302a-4398-8c60-599d29d818ab,28922,2019/08/09 00:00:00+00,nuraddeen.isah,Ekeremor,6002,Bayelsa,BY,eHA_Polio,NIE BYS KMR,0.149653469449023,2.17668089969318
3,6dd43980-dc31-4b23-af8d-76a5690b8b13,28925,2019/08/09 00:00:00+00,najib.adam,Degema,33008,Rivers,RI,eHA_Polio,NIE RVS DEG,0.0541386744147427,1.39859266556092
4,f7345210-4fc2-43ab-b2c8-f435a8c120f4,28927,2019/08/09 00:00:00+00,nuraddeen.isah,Andoni,33005,Rivers,RI,eHA_Polio,NIE RVS NDN,0.0278313515226181,1.02518804813553
5,8cdb745d-8605-44cd-b28f-43318af764c7,28930,2020/08/31 00:00:00+00,najib.adam,Akpabuyo,9003,Cross River,CR,GRID,NIE CRS KTA,0.0639464484432501,1.44418737555725
6,762a5b22-ef00-4afa-a09f-55085465bb03,28931,2019/08/09 00:00:00+00,nuraddeen.isah,Oron,3025,Akwa Ibom,AK,WHO,NIE AKS RNN,0.0119446855526277,0.579871409568633
7,7b068aa6-5d4a-491c-890a-8d62a1ff196c,28928,2020/08/31 00:00:00+00,najib.adam,Bakassi,9004,Cross River,CR,GRID,NIE CRS BKS,0.0219993729800372,0.943990354936822
8,226fb167-2a46-4c2a-9f61-a9a160936730,28929,2020/08/31 00:00:00+00,najib.adam,Calabar South,9009,Cross River,CR,GRID,NIE CRS ANA,0.0125430754556675,0.589845963723069
9,0e5c2c00-2695-41ac-8274-5e09e12874da,28933,2019/08/09 00:00:00+00,nuraddeen.isah,Udung Uko,3027,Akwa Ibom,AK,WHO,NIE AKS BYF,0.00538509758852967,0.395393578591553
10,fca48cb1-4e58-4d08-bfce-dea7494ef942,28935,2019/08/09 00:00:00+00,nuraddeen.isah,Southern Ijaw,6007,Bayelsa,BY,eHA_Polio,NIE BYS SPR,0.219665256828069,2.60680098616665
11,6726edc5-d0d7-4ca4-a535-985700ebd92d,28936,2019/08/27 00:00:00+00,nuraddeen.isah,Iwajowa,31018,Oyo,OY,WHO,NIE OYS WEL,0.207139824242869,2.85712840565727
12,5a43ca2e-3c6f-40a4-82ed-fbdbbe788849,28937,2019/08/27 00:00:00+00,nuraddeen.isah,Ibarapa North,31013,Oyo,OY,eHA_Polio,NIE OYS AYT,0.103291624967159,1.5930768482464
13,3cf00457-a415-4fff-8e61-d80d979adcc2,28940,2019/08/09 00:00:00+00,nuraddeen.isah,Okrika,33018,Rivers,RI,WHO,NIE RVS KRK,0.0495469751153799,1.3177455831376
14,8f024f32-f37f-4874-b123-27252279d086,28938,2019/08/09 00:00:00+00,nuraddeen.isah,Imeko Afon,28013,Ogun,OG,GRID,NIE OGS MEK,0.155686351558854,2.50452367022625
15,98e32ce7-ed79-42ac-b892-c5e4707f7062,28941,2019/08/09 00:00:00+00,nuraddeen.isah,Ibeno,3008,Akwa Ibom,AK,eHA_Polio,NIE AKS PNG,0.0217523595368583,1.10801844435393
16,3c6fef0a-7ef2-44f7-84e4-b076e9e017d6,28942,2019/08/09 00:00:00+00,nuraddeen.isah,Nembe,6004,Bayelsa,BY,eHA_Polio,NIE BYS NEM,0.0681764643161458,1.52176291119141
17,4d00b004-73d3-482e-9eec-628e75812c86,28946,2019/08/09 00:00:00+00,nuraddeen.isah,Ilaje,29010,Ondo,ON,eHA_Polio,NIE ODS GBA,0.110685450812626,2.25951935884441
18,69278622-41b8-43af-981f-8696092cceda,28943,2019/08/09 00:00:00+00,nuraddeen.isah,Brass,6001,Bayelsa,BY,eHA_Polio,NIE BYS BRS,0.107034080929362,3.27324323769815
19,2a2f74e9-1f1c-4540-bd9a-621d087e7a6f,28947,2019/08/09 00:00:00+00,nuraddeen.isah,Warri North,10023,Delta,DE,eHA_Polio,NIE DTS KLK,0.179130293180391,2.7056168317846
20,e4b642b3-0a5c-420b-9d44-27e540b78571,28948,2019/08/09 00:00:00+00,nuraddeen.isah,Ese Odo,29007,Ondo,ON,WHO,NIE ODS GKB,0.0623357084136131,1.27319945663562
21,f509ca21-459e-47c6-b927-c3e50ba51bc2,28953,2019/08/09 00:00:00+00,nuraddeen.isah,Jalingo,35007,Taraba,TA,eHA_Polio,NIE TRS JAL,0.0216732945690481,0.832031149622715
