FID,globalid,uniq_id,timestamp,editor,wardname,wardcode,lganame,lgacode,statename,statecode,amapcode,status,source,urban,Shape__Area,Shape__Length
1,564c8211-f688-4091-b45e-a2862ddcfb54,499246,2020/08/31 00:00:00+00,najib.adam,Ikuru,RVSNDN06,Andoni,33005,Rivers,RI,NIE RVS NDN,Operational Placeholder,INEC,No,0.00102399874780801,0.144683764989495
2,a3a0fa0f-b22c-4085-9bdb-1e1c3473d79a,499247,2019/03/16 00:00:00+00,oluseye.abraham,Aktward 17,RVSABM17,Akuku Toru,33004,Rivers,RI,NIE RVS ABM,Operational Placeholder,INEC,No,0.00408490555594376,0.310204031627554
3,d89b1914-78a0-4003-9bb0-8f3ab6c83517,499249,2019/03/16 00:00:00+00,oluseye.abraham,Aktward 1,RVSABM01,Akuku Toru,33004,Rivers,RI,NIE RVS ABM,Operational Placeholder,INEC,No,0.00948616517773893,0.399720710214452
4,ef78ea95-08ac-4eac-a66d-64c58f9c4e15,499251,2019/03/16 00:00:00+00,oluseye.abraham,Ward 12,CRSANA12,Calabar South,9009,Cross River,CR, ,Operational Placeholder,INEC,No,0.00893520935582259,0.447254210178929
5,12b3ac63-95d7-4256-9cb4-1c11905a642b,499252,2019/03/16 00:00:00+00,oluseye.abraham,Koluama,BYSSPR09,Southern Ijaw,6007,Bayelsa,BY,NIE BYS SPR,Operational Placeholder,INEC,No,0.0265116737051905,0.810235961080384
6,3e3a8acd-4fa5-4ec1-99a3-69329f470681,499253,2019/03/16 00:00:00+00,oluseye.abraham,Foropa,BYSSPR07,Southern Ijaw,6007,Bayelsa,BY,NIE BYS SPR,Operational Placeholder,INEC,No,0.03601668539625,1.00605034721137
7,ec06f173-f415-4497-936f-e8bc57cf0b89,499254,2019/03/16 00:00:00+00,oluseye.abraham,Ikot Edem Odo,CRSKTA02,Akpabuyo,9003,Cross River,CR, ,Operational Placeholder,INEC,No,0.0116932776623706,0.455045966206938
8,372a4bb8-fc2d-4c18-990f-9d6c90603e02,499257,2020/08/31 00:00:00+00,najib.adam,Atai Ema,CRSBKS10,Bakassi,9004,Cross River,CR,NIE CRS BKS,Operational Placeholder,INEC,No,0.00177933486577331,0.207329827508366
9,32ab2ef8-61c6-4d9b-95b6-b87734b9db59,499258,2019/03/16 00:00:00+00,oluseye.abraham,Sangana,BYSBRS10,Brass,6001,Bayelsa,BY,NIE BYS BRS,Operational Placeholder,INEC,No,0.0108890428125239,0.624682194116584
10,cd3cbe0c-6796-45dd-b691-413a25d948cc,499261,2019/03/16 00:00:00+00,oluseye.abraham,Brass 3,BYSBRS03,Brass,6001,Bayelsa,BY,NIE BYS BRS,Operational Placeholder,INEC,No,0.000591098313577731,0.104495545488919
11,a5512e4b-4084-429f-b23f-cdfb8f3bd198,499263,2019/03/16 00:00:00+00,oluseye.abraham,Iduwini 1,BYSKMR01,Ekeremor,6002,Bayelsa,BY,NIE BYS KMR,Operational Placeholder,INEC,No,0.0132598995154947,0.637766387834421
12,693b931f-ca5c-42cb-8bf3-97114f41d269,499265,2019/03/16 00:00:00+00,oluseye.abraham,Boward 9,RVSBNY09,Bonny,33007,Rivers,RI,NIE RVS BNY,Operational Placeholder,INEC,No,0.00433930557473872,0.321547740076812
13,185f4b68-b97f-44b1-a299-b151368c8502,499268,2019/03/16 00:00:00+00,oluseye.abraham,Deward 3,RVSDEG03,Degema,33008,Rivers,RI,NIE RVS DEG,Operational Placeholder,INEC,No,0.00403132892564706,0.381536664447639
14,c23afdc1-2776-446a-936f-5ef349faf152,499269,2019/03/16 00:00:00+00,oluseye.abraham,Deward 1,RVSDEG01,Degema,33008,Rivers,RI,NIE RVS DEG,Operational Placeholder,INEC,No,0.00599111988089973,0.385001167866878
15,db2c7019-8452-4231-b907-ab6313130f0a,499270,2019/03/16 00:00:00+00,oluseye.abraham,Deward 4,RVSDEG04,Degema,33008,Rivers,RI,NIE RVS DEG,Operational Placeholder,INEC,No,0.00599713388685075,0.469093708846469
16,edaf758b-78d7-4282-b396-9bc56f483dc6,499271,2019/03/16 00:00:00+00,oluseye.abraham,Deward 13,RVSDEG13,Degema,33008,Rivers,RI,NIE RVS DEG,Operational Placeholder,INEC,No,0.0119031370089679,0.463395531219209
17,792e3ca1-b4a4-4663-bec1-63563c381ac2,499273,2019/03/16 00:00:00+00,oluseye.abraham,Samaga,RVSNDN07,Andoni,33005,Rivers,RI,NIE RVS NDN,Operational Placeholder,INEC,No,0.00377975418418686,0.356884802706494
